Days to Harvest, Yield Rate
147,0.620117000408
147,1.22883211565
147,0.708888936054
147,1.12355351837
147,1.18229052721
147,1.24745947211
147,1.2705036585
147,0.146840490612
147,0.855620589796
147,0.918794733333
147,0.895627090476
147,1.31360632517
147,1.22557513061
147,0.756481531973
147,1.5444315517
147,1.22046304422
147,1.21900592925
147,1.30753338776
147,1.66874280136
147,1.14548253265
147,1.22423253741
147,1.11828467483
147,1.34368917347
147,1.2629126898
147,1.29490993061
147,1.28883536871
147,1.34766172041
147,1.09582528435
147,1.47381182653
147,0.553972584014
147,1.51781442857
147,1.17807025374
147,1.2910689619
147,1.06033632789
147,1.33934219456
147,1.17660501633
147,1.26447376871
147,1.52822378571
147,1.19841625918
147,2.34442916871
147,1.19374276939
147,1.19332041769
147,1.17261216395
147,1.10926258231
147,1.26912614014
147,1.47031848639
147,1.42042244694
147,1.60680647483
147,0.700648194558
147,0.545433759524
147,1.05576761429
147,1.0412216415
147,1.39802640884
147,1.1049578381
147,1.3809211449
147,1.42284447415
147,1.2659649966
147,1.14814335102
147,1.09285988435
147,1.12968249864
147,0.941985117687
147,1.5436502
147,1.04787612585
147,1.32821646259
147,2.85898167211
147,1.25456473605
147,1.51083343401
147,1.29432594694
147,1.13206635238
147,1.43192991973
147,1.72821324082
147,1.00875006735
147,1.64470446327
147,1.11620540272
147,1.38282579048
147,0.977407472789
147,1.30803614966
147,0.986976186395
147,1.0128119585
147,1.33959722993
147,1.11040943061
147,1.29888572653
147,1.29800203605
147,1.06906439864
147,1.02469142653
147,1.16416430748
147,1.42192342177
147,1.1074156034
147,0.851808861224
147,1.00595035918
147,1.75855274898
147,1.16353159116
147,1.3036509966
147,0.66868100619
147,1.67797282109
147,0.923040185034
147,1.67761219728
147,1.27464595918
147,1.38537533605
147,1.25771938231
147,1.29078955986
147,0.941562765986
147,1.16932756327
147,1.55281767959
147,1.25727103878
147,1.22779735306
147,1.19862987211
147,1.38981328299
147,0.767680363265
147,1.51164402517
147,1.33807026463
147,1.18918867551
147,1.43540782789
147,1.25328955714
147,1.12448025714
147,1.62255858776
147,0.913708638095
147,1.42706068639
147,1.45020315034
147,0.928427612245
147,1.55618756327
147,0.711827532653
147,1.41753420748
147,1.49244161973
147,1.48209074218
147,1.21874602041
147,1.69183978163
147,0.787500052381
147,1.28787532925
147,1.05548821224
147,1.58948028776
147,1.30288751361
147,1.30001633061
147,1.1394956898
147,1.4698303449
147,1.76981655714
147,1.37157254082
147,1.09819614218
147,1.35137760816
147,1.42578631973
147,1.20240748776
147,0.917071210884
147,1.20558974898
147,1.89688121769
147,0.940435410204
147,1.54635487891
147,0.95739772449
147,1.2524952102
147,1.44018284422
147,1.19745622041
147,1.33044599524
147,1.22374033469
147,1.43868186939
147,1.06800689388
147,1.75921551701
147,1.42631588435
147,1.0415416551
147,1.69987990544
147,1.13837645646
147,1.46423011701
147,0.910761919048
147,1.29154004694
147,1.66004072109
147,1.01377687075
147,1.48823596667
147,1.38669599864
147,1.3968129585
147,1.03030708639
147,1.44964272177
147,0.777385529252
147,1.41556133537
147,1.31179670884
147,1.27496922041
147,1.7208334483
147,1.0241618619
147,1.66962974082
147,1.35061412517
147,1.14398074558
147,1.54657255238
147,1.2291472551
147,0.556834832449
147,1.11224828707
147,1.36566529592
147,1.42638167415
147,1.47177966259
147,1.47358684286
147,1.24580092789
147,1.30283390748
147,1.31059138027
147,1.2969266619
147,0.980776543537
147,1.36241886939
147,1.64192262381
147,1.18185842857
147,1.42365181701
147,1.09359981293
147,1.85824086463
147,1.18000982517
147,1.37236851224
147,1.39461591497
147,1.44107871837
147,1.19762191224
147,1.74307516463
147,0.968492591837
147,1.34376227279
147,1.15362418367
147,1.14600316259
147,0.959600453741
147,1.2232700619
147,1.13278922449
147,1.44393771837
147,1.68931135374
147,1.25540944014
147,1.27922035782
147,1.20496028163
147,1.42965977687
147,1.99794603946
147,1.41601292721
147,1.02508047755
147,1.57317749252
147,1.26565554218
147,1.27469794082
147,1.28393933197
147,0.830994207483
147,1.10629637007
147,1.51942261565
147,1.19834640884
147,1.18860225578
147,1.4682554585
147,1.10029247075
147,1.21776323878
147,1.55605760884
147,1.31376876871
147,1.04021205782
147,1.41994486395
147,1.35227429388
147,1.50841952857
147,1.28294193061
147,1.19019663537
147,1.26631587415
147,1.02543866463
147,1.90678618912
147,1.34832854966
147,1.18804832449
147,1.15435192857
147,1.26146613333
147,1.42889060884
147,1.29792081429
147,1.29121191156
147,1.40269664966
147,1.49896046395
147,1.38268365306
147,1.2382067102
147,1.37709560816
147,1.2035819517
147,0.94603645034
147,0.988141716327
147,1.88167653878
147,1.38304102789
147,1.36666675782
147,1.67885001429
147,1.7653022619
147,1.33256181701
147,1.19395719456
147,1.41520477279
147,1.68106736327
147,1.67028925986
147,1.28384511497
147,1.48991238027
147,1.75840654966
147,1.75937308639
147,1.25125089524
147,1.52763168095
147,1.6386697
147,1.38920574558
147,1.53996111633
147,1.26081879728
147,1.60727755986
147,1.69382727347
147,1.41184219932
147,1.45908879116
147,1.67409855238
147,1.89447705918
147,1.26055888844
147,1.61769828844
147,1.61564338231
147,1.52648645646
147,1.24912289048
147,1.35027624354
147,1.3454191932
147,1.12319695578
147,1.25263166259
147,1.21688604626
147,1.22547116667
147,1.27105271633
147,1.01549714354
147,1.16504231293
147,1.6447369517
147,1.2557018381
147,1.43368268163
147,1.33551016054
147,1.38024700544
147,0.95175444966
147,1.16812873265
147,1.32728241429
